patent_title,patent_number,patent_type,patent_date,patent_abstract,patent_firstnamed_assignee_id,patent_firstnamed_assignee_country,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_assignee_city,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_firstnamed_inventor_city,patent_firstnamed_inventor_country,patent_firstnamed_inventor_id,assignee_key_id,assignee_organization,assignee_type,assignee_total_num_patents
Wind turbine system for buildings,7315093,utility,2008-01-01,"Systems and methods for capturing the energy of wind currents by placing wind-driven turbines at one or more edges of a building's roof, where the wind currents are concentrated by deflection of the wind off the horizontal faces of the building. In one embodiment, a cylindrical wind turbine is placed at the edge of a building's rooftop. The turbine structure drives an electrical generator. The axis of rotation of the turbine is parallel to the ground and to the edge of the building. A concentrator may be used to direct rising winds into the turbine. Turbines can be installed on multiple sides of the building to optimize the system for variations in wind direction with changes in seasons or weather conditions.",,,,,,30.2669,-97.7428,Austin,US,7315093-1,,,,
Louvered horizontal wind turbine,7323791,utility,2008-01-29,"A wind turbine, including: a rotatable frame; a plurality of airfoils extending in a direction parallel to an axis of rotation of the rotatable frame; and an enclosure surrounding the rotatable frame, wherein the enclosure comprises a plurality of moveable members configured to direct air flow onto a first half of the rotatable frame and to block air flow onto a second half of the rotatable frame to thereby cause the rotatable frame to rotate. The moveable members may be pivotable louvers that can be opened by being oriented in a direction parallel to the direction of the air flow. By changing the orientation of the pivotable louvers, the present wind turbine can generate electricity from winds blowing in any direction.",,,,,,37.5631,-122.324,San Mateo,US,7182573-1,,,,
Wind turbine and energy distribution system,7329099,utility,2008-02-12,"A new design of vertical axis wind turbine is disclosed based on a dome structure using dome struts as blades that work in concert to produce rotational motion. The stability and low cost of the new design allows the turbine to function in low wind speed regimes as well as high speed winds that would be encountered in off-shore wind installations. The large stresses and structural requirements of mounting large horizontal axis wind turbines, particularly off-shore, are avoided with the new system. A new energy distribution system is proposed that will capture abundant off-shore wind energy, store it aboard a generator/delivery ship in the form of Hydrogen gas, and deliver it to an existing shore based power plant to produce electricity using a conventional gas turbine. Alternatively, the Hydrogen can be used to produce methane from coal using known processes to add natural gas to pipelines in areas that would normally be consuming the material. Both applications, and the direct production of heat by the new turbines, would stabilize our national energy grid while reducing CO2 emissions.",,,,,,41.6142,-81.1492,Chardon,US,4543139-2,,,,
Aircraft beacon device on wind power installations,7355522,utility,2008-04-08,"A warning system for a wind power installation of a wind farm. In one embodiment, the warning system comprises a visibility measuring device. In one embodiment, the warning system comprises a controller configured to synchronize flashing lights on the wind power installation with flashing lights on another wind power installation of the wind farm.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Fire protection,7372171,utility,2008-05-13,"The present invention concerns a wind power installation comprising a pylon and a pod arranged at the tip of the pylon. The invention further concerns a method of controlling such a wind power installation. In order to prevent a fire from occurring or at least to be able to rapidly extinguish a fire which has occurred, there is provided a first apparatus for producing an inert atmosphere.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Fire protection,7378751,utility,2008-05-27,"The present invention concerns a wind power installation comprising a pylon and a pod arranged at the tip of the pylon. The invention further concerns a method of controlling such a wind power installation. In order to prevent a fire from occurring or at least to be able to rapidly extinguish a fire which has occurred, there is provided a first apparatus for producing an inert atmosphere.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Method for operating a wind park,7392114,utility,2008-06-24,"A wind park system is disclosed. Briefly described, one embodiment includes at least one wind power installation having a rotor; an electrical generator drivable by the rotor, such that the electrical generator is operable to deliver electrical power to an electrical network; and a control device operable to control at least a voltage and a current of the electrical power delivered into the electrical network, and operable to implement a phase angle change in dependence on a network voltage measured at least one location within the electrical network, wherein the phase angle determines the phase position between the current and the voltage of the electrical power delivered by the electrical generator.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Vertical axis wind turbine with optimized blade profile,7393177,utility,2008-07-01,"A high efficiency vertical axis wind turbine includes an optimized blade shape for increased torque output. The shape of the optimized profile includes a camber portion at a leading edge region of the blade with a maximum height to chord ratio (Y/C) at when the non-dimensional chord length (X/C) is approximately one third. An intermediate region follows the leading edge region and is characterized by a shallow convex region, followed by a flow reattachment surface at the trailing edge region characterized by a second concave region and a local maximum of the height to chord ratio at approximately four fifths of the non-dimensional chord length.",,,,,,33.7669,-118.18799999999999,Long Beach,US,7393177-1,,,,
Wind turbine,7399162,utility,2008-07-15,"A fluid turbine, such as a wind or hydro turbine, for generating electrical power, the turbine having a rotor assembly comprising a hub, a rim and a plurality of tensioned cable members joining them together, the cable members being grouped into sets to define a plurality of supports for individual skin members to create a plurality of lightweight blade members.",,,,,,29.6581,-81.5986,East Palatka,US,7190087-1,,,,
Structure utilizing geothermal energy,7407004,utility,2008-08-05,"A structure utilizing geothermal energy capable of effectively utilizing a thermal energy in an underground constant temperature layer while using a supplementary heater and an air conditioner and natural energies such as solar heat or solar light, wind power, and water power in order to prevent limited fossil energies such as petroleum, gases, and coal from being exhausted, wherein an insulating wall (A) formed of a plurality of insulation panels (1) connected to each other and extending from a ground surface (4) to the underground constant temperature layer (21) is buried in the ground while surrounding a building (22) adhesively to the ground exposed portion and the underground buried portion of a foundation (5).",,,,,,34.3852,132.455,Hiroshima,JP,7407004-1,,,,
Vertical wind turbine system with adjustable inlet air scoop and exit drag curtain,7488150,utility,2009-02-10,"A wind driven vertical axis power generating system is disclosed. An air scoop directs air from the prevailing wind into an air turbine. An exit drag curtain provides for an efficient re-entrainment of the power generating air back into the prevailing wind. The design provides for an efficient method of utilizing the energy from a prevailing wind. The air scoop and exit drag curtain may be rotated to be suitably oriented to the prevailing wind direction. The invention is visually pleasing in shape, as well as efficient in the production of useful power.",,,,,,34.6506,-111.745,Rimrock,US,7488150-1,,,,
Tower of a wind power installation,7549264,utility,2009-06-23,"There are various pylons of wind power installations, primarily lattice mast pylons, tubular steel pylons or concrete pylons. In the case of pylons of concrete, there are various possible ways of producing same, inter alia also erecting pylons from ready-made reinforced concrete parts, wherein the individual ready-made reinforced concrete parts form respective segments which are laid one upon the other and which are then braced to each other._The object of the invention is to speed up construction of a pylon comprising segments disposed in mutually superposed relationship, with a bonding material between the segments._A pylon of a wind power installation, wherein the pylon comprises mutually superposed segments and there is a bonding material between the mutually superposed segments, and a heating element is provided in the upper region of the downwardly disposed segment and/or in the lower region of the upwardly disposed segment on the side of the segment, which is towards the oppositely disposed segment.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Intelliroad,7550860,utility,2009-06-23,"The present invention provides for a system to generate electricity from vehicular traffic and road infrastructure. Specifically, energy of a moving vehicle may be transferred via mechanic or wind energy into electricity. Additionally, shoulders of roads allow for installment of photovoltaic cells that provide for electricity while not interfering with normal traffic patterns in the least.",,,,,,50.7167,4.3833,Waterloo,BE,7550860-1,,,,
Hazard navigation light for wind turbines,7589641,utility,2009-09-15,"A wind power installation includes a pylon and a machine housing mounted thereon. The pylon accommodates the rotor of the wind power installation and the generator for producing energy. Wind power installations can be provided with signaling devices so that the attention of air traffic is drawn to the existence of the wind power installation as a large structure. The flight lighting arrangement produces a light which is visible over a long distance, preferably a flashing light. A cover arranged with the flight lighting arrangement can substantially prevent the light from the flight lighting arrangement from being visible, from the ground, in a region around the wind power installation.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Airflow power station,7605489,utility,2009-10-20,"An airflow power station preferably comprises a windmill engine rotatable by wind including a main shaft and a rotational speed sensor, a compressed-air tank, a compressor charging the tank, an electric generator, a flywheel conveying rotation to the compressor and to the generator, and two pneumo-cylinders with pistons and sensors sensing their initial and ending positions. Each piston is coupled with a rod hingedly associated with a clutch controllably engaging and disengaging the piston with the flywheel. Each pneumo-cylinder is divided into an inner and an outer chamber, pneumatically communicating with the tank via an intake valve controllably supplying compressed air and a pneumo-regulator controllably switching the airflow ‘on’ and ‘off’ depending on the rotational speed of main shaft. Each pneumo-cylinder includes a reverse spring disposed in the inner chamber thereof, compressed during a work stroke of the piston and released upon return of the piston into its initial position.",,,,,,40.65,-73.95,Brooklyn,US,6960062-1,,,,
Wind collector,7611325,utility,2009-11-03,"A wind collector including a number of upright columns being arranged in a closed geometric form. A roof is affixed to the tops of the columns. A number of horizontal beams connect each adjacent pair of columns together beneath the roof. Each of the beams has an inner surface and an opposed, outer surface. A plurality of movable panels is suspended from the horizontal beams. Each of the panels is hingedly connected, at the top thereof, to one of the beams and, at the bottom thereof, normally contacts and presses downwardly upon the inner surface of another one of the beams whereby passing winds swing the bottoms of the panels inwardly and enter the wind collector.",,,,,,35.6678,-101.397,Borger,US,6736964-1,,,,
Method of operating a wind power station,7619321,utility,2009-11-17,"When planning and setting up wind power installations, the visual detractions to be expected on the part of the wind power installation on the environment play an increasingly important part in approval and acceptance. The shadow casting caused by the wind power installation on the adjoining properties is often perceived by the residents as being very troublesome.A wind power installation is provided by means of which shadow casting regulation is improved. That is achieved by a method of operating a wind power installation wherein a first light intensity is detected in a region of direct light irradiation and a second light intensity is detected in a shadowed region, and wherein the wind power installation is shut down if the difference between the first light intensity and the second light intensity is greater than a predetermined value.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Momentum-conserving wind-driven electrical generator,7635923,utility,2009-12-22,"Wind-driven electrical generators will slow and lose kinetic energy when the wind slows or stops. When the wind slows or stops, kinetic energy in the rotating turbine and other rotating components that would otherwise be lost, is conserved by supplying a supplemental mechanical energy to the rotating components using a battery-powered motor. The electrical power for the drive motor is obtained from solar-charged batteries. In an alternate embodiment, solar cells provide all of the energy for the drive motor.",,,,,,41.85,-87.65,Chicago,US,7635923-1,,,,
Method for operating a wind park,7638893,utility,2009-12-29,"Wind power installations were initially always erected in the form of individual units and it is only in recent years that, caused also by administrative and building regulations, wind power installations are frequently installed in wind parks. In that respect a wind park in its smallest unit is an arrangement of at least two wind power installations, but frequently markedly more. By way of example mention may be made of the wind park at Holtriem (East Frisia) where more than 50 wind power installations are set up in an array. It is to be expected that the number of units and also the installed power of the wind power installations will also increase greatly in the forthcoming years. In most cases the wind potential is at its greatest in regions of the power supply networks with a low level of short-circuit power and low population density. It is precisely there that the technical connection limits are quickly reached by the wind power installations, with the result that it is then no longer possible for further wind power installations to be set up at such sites. A method of operating a wind park comprising a plurality of wind power installations, wherein the wind park is connected to an electrical power supply network into which the electrical power produced by the wind park is fed and the wind park and/or at least one of the wind power installations of the wind park has a control input, by means of which the electrical power of the wind park or one or more individual wind power installation or installations can be set in a range of between 0 and 100% of the respective power to be made available, in particular the nominal power, and that there is provided a data processing apparatus which is connected to the control input and by means of which the setting value is set in the range of between 0 and 100%, depending on how great is the power that the overall wind park provides at its output for feeding into the energy network and wherein the operator (PSU) of the electrical supply network to which the wind park is connected can adjust the power delivered by the wind park by way of the control input.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Parabolic bi-directional wind turbine assembly and omni-directional power array,7728455,utility,2010-06-01,"An omni-direction array 22 of wind turbine assemblies 10 is positioned upon and about the periphery of the roof of a building. Each wind turbine assembly 10 comprises a self supporting modular box-shaped housing 12 having an inlet and outlet for accelerating the flow of air therethrough. Turbine 14 comprises a hub 27, a peripheral band 28 and vanes 25 having proximal and distal ends positioned there between and having a ring gear 18 positioned on the peripheral band in mechanical communication with a plurality of generators 20 for converting wind energy into electricity. Parabolic collectors 16 are positioned and attached to the inlet and outlet of the housing 12 for collecting, concentrating, directing and accelerating wind through the turbine 14 in the throat section of the assembly. Each self supporting box-shaped modular housing 12 is structurally communicated with other housings 12 by interlocking mating surfaces 26.",,,,,,26.1417,-81.795,Naples,US,7728455-1,,,,
EOLIC energy transformation tower,7744339,utility,2010-06-29,"The present invention allows for the exploitation and transformation of eolic energy into mechanical or electric energy by means of coupling it to a fixed generator. The tower is a vertical structure that houses a vertical axis rotor and makes better use of the wind's thrust by producing a funnel and a tunnel effect over the rotor. This arrangement makes possible to obtain energy independently from the wind's direction and to use a greater range of wind intensities, avoiding stops due to great winds by incorporating a duly synchronized gate system that allows stopping, maintaining and regulating the wind-driven rotor.",,,,,,42.4627,-2.445,LogroÃÂÃÂ±o,ES,7744339-1,,,,
Vertical multi-phased wind turbine system,7753644,utility,2010-07-13,"A vertical axis multi-phased wind turbine power generating system is disclosed. An adjustable air scoop directs air from a first phase of the prevailing wind into an air turbine for efficient power generation. An exit section, which uses a second phase of the prevailing wind in combination with an optional and adjustable exit section drag curtain or barrier, provides for efficient re-entrainment of this first stage of power generating air back into the downstream prevailing wind. The adjustable air scoop and adjustable exit drag curtain or barrier, where utilized, is automatically rotated in a self correcting manner to be suitably and optimally oriented to the prevailing wind direction. The design provides for a second stage of power generation to be accomplished by additionally utilizing a portion of the second phase of prevailing wind to directly or indirectly drive the turbine in a second stage of power production.",,,,,,34.6506,-111.745,Rimrock,US,7488150-1,,,,
Wind turbine assembly,7758299,utility,2010-07-20,"A wind turbine for generating electricity is configured as a drum with a housing that has adjustable shutters to control the amount of wind reaching the turbine blades. Alternatively, the turbine blades can be pivotably mounted and opened and closed using a cam follower, cam track system to minimize wind exposure to downstream turbine blades.",,,,,,42.1292,-80.0853,Erie,US,4607451-1,,,,
Power towers/innovative method of power extraction using static airfoils,7771158,utility,2010-08-10,An airfoil shaped tower the size of a skyscraper for the production of electrical power using turbines. The turbines are located at the base of the tower and are fed by ambient air. Power to turn the turbines comes from the pressure drop generated by the wind moving over a changing surface of the airfoil. (Bernoulli's Equation). The areas of negative pressure on the exterior surface are covered by a plurality of bleeder vents that conduct air from the high-pressure (ambient air) interior to the low-pressure exterior. The invention is further improved by the construction of several towers in close proximity. Adjacent towers augment the air velocity thus increasing the pressure differential. The power of the turbines is greatly increased because power is proportional to the effective wind velocity cubed.,,,,,,42.4436,-82.9069,Grosse Pointe Woods,US,6123445-1,,,,
Method of operating a wind power station,7777362,utility,2010-08-17,"When planning and setting up wind power installations, the visual detractions to be expected on the part of the wind power installation on the environment play an increasingly important part in approval and acceptance. The shadow casting caused by the wind power installation on the adjoining properties is often perceived by the residents as being very troublesome. A wind power installation is provided by means of which shadow casting regulation is improved. That is achieved by a method of operating a wind power installation wherein a first light intensity is detected in a region of direct light irradiation and a second light intensity is detected in a shadowed region, and wherein the wind power installation is shut down if the difference between the first light intensity and the second light intensity is greater than a predetermined value.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
System and method for generating wind power from a vertical structure,7786611,utility,2010-08-31,A ducting structure for generating wind power from a vertical structure. The ducting structure includes a main housing sized and shaped to be coupled to a wind turbine and located on the vertical structure. The main housing includes a vertically oriented aperture having a first duct leading to the coupled wind turbine and a horizontally oriented aperture having a second duct leading to the coupled wind turbine. The vertically oriented aperture captures a prevailing wind and the horizontally oriented aperture captures an updraft flowing upwardly along the vertical structure. The captured updraft and the prevailing wind are guided through the first and second ducts past the coupled wind turbine.,,,,,,32.7833,-96.8,Dallas,US,7013289-2,,,,
Vertical axis self-breaking wind turbine,7802967,utility,2010-09-28,"A vertical axis wind turbine which includes a rotor having three radially extending blades spaced at even intervals about a central axis. Each radially blade having an outer edge that lies on an imaginary circle of a first diameter. Each radially extending blade including a plurality of spaced airfoil sub-blades separated by gaps for the passage of air therethrough. Each of sub-blade having a leading vertical edge, and a trailing vertical edge and being positioned with the trailing vertical edge along a common radius line of the imaginary circle. Each sub-blade is skewed such that its cord line is rotated negative 45 degrees with respect the radius of the imaginary circle. The airfoil sub-blades maximize energy production by creating a secondary wind flow of a higher velocity for impingement upon blades of the rotor, and utilize backpressure during the second half of a rotation cycle to efficiently break the rotor against overspeed.",,,,,,28.2439,-82.7194,New Port Richey,US,7802967-1,,,,
Method of operating a wind power station,7812471,utility,2010-10-12,"When planning and setting up wind power installations, the visual detractions to be expected due to the wind power installation on the environment play an increasingly important part in approval and acceptance. The shadow casting caused by the wind power installation on the adjoining properties is often perceived by the residents as being very troublesome. A wind power installation is provided to improve regulation of shadow casting. That is achieved by a method of operating a wind power installation by detecting a first light intensity in a region of direct light irradiation and detecting a second light intensity in a shadowed region. The wind power installation is shut down if the difference between the first light intensity and the second light intensity is greater than a predetermined value.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Method for operating a wind park,7830029,utility,2010-11-09,"A wind park system is disclosed. Briefly described, one embodiment comprises at least one wind power installation having a generator for the delivery of electrical power to an electrical network, characterized in that the power delivered to the network by the wind park is regulated or adjusted in dependence on the network frequency of the electrical network.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Momentum-conserving wind-driven electrical generator,7834473,utility,2010-11-16,"Wind-driven electrical generators will slow and lose kinetic energy when the wind slows or stops. When the wind slows or stops, kinetic energy in the rotating turbine and other rotating components that would otherwise be lost, is conserved by supplying a supplemental mechanical energy to the rotating components using a battery-powered motor. The electrical power for the drive motor is obtained from solar-charged batteries. In an alternate embodiment, solar cells provide all of the energy for the drive motor.",,,,,,41.85,-87.65,Chicago,US,7635923-1,,,,
Generator device for use with a ventilating turbine,7839010,utility,2010-11-23,A generator device is arranged for use with a roof ventilator including a base arranged to be supported in a roof opening in a roof and a ventilating turbine rotatably supported on the base so as to be arranged for ventilating a space below the roof through the roof opening when rotated. The generator device includes a generator having an input shaft and being arranged to produce electricity when the input shaft is rotated and a coupling mechanism arranged to couple the input shaft of the generator to the turbine. A roof top ventilating turbine can thus be readily converted for capturing wind energy at low cost using existing equipment.,,,,,,50.4,-105.55,Moose Jaw,CA,7839010-1,,,,
Solar and wind energy converter,7851935,utility,2010-12-14,"An integrated hybrid energy generating system capable of converting wind and solar energy for use with an electrical generator. During the daytime, the system concurrently derives energy from both wind and solar energy sources. During the nighttime, it continuously harvests wind energy regardless of the weather condition.",,,,,,33.8358,-118.34,Torrance,US,7851935-1,,,,
Vertical shaft type windmill with arcuate hook shaped vane blades,7863765,utility,2011-01-04,"A vertical shaft type windmill with arcuate hook shaped vane blade is composed of a tower, a rotary stand, a wind vane assembly, a generator and an electric controller. The present invention makes use of the wind power to drive the aforesaid structure to produce the mechanical power which being afterwards converted into the electrical power to supply various loads such as the domestic appliances, the public and roadway lighting. The structure is simply constructed, easy to fabricate and operate.",,,,,,24.944000000000003,121.21600000000001,Ping-Zhen,TW,7863765-1,,,,
Wind generator system,7880323,utility,2011-02-01,"A new and novel wind generator system particularly suitable for small wind applications that harnesses low velocity wind effectively. In a preferred embodiment, the wind generator system has a drive shaft; a plurality of blades attached to the drive shaft and extending radially outwardly therefrom; a generator assembly coupled to the drive shaft and effective for generating electrical power; and a housing having an inner chamber for receiving the plurality of blades and a wind directional apparatus that operates to adjust the speed of the wind and to channel wind along a desired flow pathway towards the plurality of blades.",,,,,,39.1619,-84.4569,Cincinnati,US,7880323-1,,,,
"Systems and methods for producing, shipping, distributing, and storing hydrogen",7911071,utility,2011-03-22,"These inventions related to systems and methods for producing, shipping, distributing, and storing hydrogen. In one embodiment, a hydrogen production and storage system includes a plurality of wind turbines for generating electrical power; a power distribution control system for distributing, and converting the electrical power from the wind turbines, a water desalination and/or purification unit which receives and purifies seawater, and an electrolyzer unit that receive electrical power from the power distribution system and purified water from the desalination units and thereby converts the water into hydrogen and oxygen. After its production, hydrogen is stored, transported, and distributed in accordance with various embodiments.",,,,,,34.4481,-119.242,Ojai,US,7911071-1,,,,
Building-integrated system for capturing and harvesting the energy from environmental wind,7911075,utility,2011-03-22,"A system is disclosed for capturing and harnessing energy from environmental wind which impinges the outer wall surfaces of a building. The system includes at least one elongated conduit disposed within an enclosure of a building, the conduit having first and second end portions opening to the building outer wall surfaces. A wind deflector mechanism is disposed at each of the first and second conduit end portions. Each such wind deflector mechanism is adapted to direct environmental wind, which impinges against the building outer wall surface proximate the end portion, into the conduit to provide bi-directional air flow passing through the conduit. At least one wind collector device is disposed within the conduit, and the wind collector has air impact elements mounted to a shaft. Each wind collector device is adapted to interact with the bi-directional air flow moving within the conduit originating from either first or second conduit end portions to rotate the wind collector shaft. Finally, a wind turbine device is disposed within the building and is operatively interconnected to the wind collector shaft to generate electricity from the rotation thereof.",,,,,,39.7392,-104.984,Denver,US,7911075-1,,,,
Electrical energy generation using hydro-voltaic (HV) cells,7919878,utility,2011-04-05,Inverse magneto hydrodynamics is employed to exploit natural movement of ocean water at coastal facilities using arrays of tubes to channel the water through orthogonal magnetic fields to generate DC voltage. Each such tube houses a plurality of serially arranged hydro-voltaic cells to produce electrical energy without mechanical movement. The tubes are preferably arranged to produce improved land use efficiency as compared to other known renewable energy generating systems such as photo-voltaic and wind turbines. A pumped salt water version is also disclosed.,,,,,,33.7456,-117.867,Santa Ana,US,4224512-1,,,,
Wind-driven electricity generation device with Savonius rotor,7948110,utility,2011-05-24,"A vertical wind-driven electricity generation device is described, which utilizes a unique segmented Savonius rotor and which is easily handled, transported, assembled and maintained, even by a single person. The blades of the rotor are segmented into a plurality of modest size blade pair segments, each of which comprises two (or optionally, three or four) low height, helically curved blade portions. The blade pair segments are preferably of the same height and diameter. The rotor is mounted on a central vertical shaft connected to a generator. When the plurality of blade portions are installed on the device's central shaft, the overall blade configuration functions as an unitary Savonius rotor. Flow of gas (normally air in the form of wind) causes the segmented Savonius rotor to move, turning the shaft and rotating member of the generator to rotate, causing the generator to generate electricity.",,,,,,32.7153,-117.156,San Diego,US,7948110-1,,,,
Helix turbine system and energy production means,7976267,utility,2011-07-12,"A helical turbine with a circular member attached to one end for redirecting axially flowing fluid into perpendicularly flowing fluid. A fluid diverter for redirecting substantially perpendicular flowing fluid into axially flowing fluid. A hollow circular member attached to an opposite end of the turbine allowing substantially axial flowing fluid into one end of turbine. A drive shaft of at least one generator is in continuous contact with the peripheral edge of the solid or hollow circular member producing faster rpm. A turbine assembly mounted on a rooftop utilizing accelerated wind. Fluid diverters increasing fluid flow into the helical turbine's receding blades. A fluid diverter preventing fluid from hitting turbine's oncoming blades. A tail section for maintaining optimal direction into oncoming fluid. Two counter rotating turbines where the attached circular member's edges are in continuous contact. Multiple turbine body assemblies, using different combinations of disclosed elements, produce multiple preferred embodiments.",,,,,,40.6975,-74.2636,Union,US,D381017-1,,,,
Safety device for plug and play solar energy system,7977818,utility,2011-07-12,An apparatus and system for preventing branch circuit current overload in a non-dedicated branch circuit where current is supplied at least in part by a co-generation power system through an electrical receptacle or outlet. Co-generation systems of this type are typically used in residential applications and can include solar photovoltaic systems and wind turbines. The apparatus modulates or adjusts the current flowing into the branch circuit from the co-generation power system so that the apparatus does not cause the combination of current supplied from the utility power grid into the branch circuit and current supplied by the co-generation system into the branch circuit outlet to exceed the branch circuit current capacity.,,,,,,39.5728,-107.536,New Castle,US,7977818-1,,,,
LED light has pinhole imaging,8002456,utility,2011-08-23,"An LED light has a pinhole-imaging function for dark area use as a plug-in wall outlet light, direct current (DC) operated light, or interchangeable power source light to project a shaped image to a surrounding environment. Tiny shaped pinholes can create a fine image of desired message, data, logo, or time on a ceiling, walls, floor, optics means surface or other desired surface. At least one pinhole-means may be incorporated with an LED and parts selected from a housing-member, plastic film openings, cut-outs, transparent material piece, translucent material piece, adjust-means, sealed-unit, battery-pack, paper material, plastic material, metal material, wood material, geometric shape substrate, AC adaptor and jack means, and/or solar power or wind power generator to project the desired image, message, data, logo, to the surrounding environment, which may include any combination of ceiling, walls, floor, or other desired surfaces(s). The light may have an adjustable feature, interchangeable power source feature, dot-matrix gerometric shape feature, and features to change position or orientation of the pinhole substrate or LED.",,,,,,34.0203,-117.86399999999999,Walnut,US,D349970-1,,,,
Hybrid water pressure energy accumulating wind turbine and method,8030790,utility,2011-10-04,"A hybrid water pressure energy accumulating, wind turbine tower assembly used to directly propel water pumps to raise water from low elevation reservoir(s) to high elevation reservoir(s) where it is used as a potential energy. The wind tower assembly includes a wind turbine having propeller with a rotor, a generator driven by the rotor and a yaw assembly attached to a tower with a foundation. The tower includes in-tower storage reservoirs configured for storing water. The in-tower storage reservoirs could be defined by lower and upper water storage containers attached to the inner or outer surface of the tower that might be connected to other neighboring reservoir(s). The wind turbine may be of the vertical or horizontal-axis type and may be installed inside a residential or commercial building. The lifted water is used to generate electricity utilizing a hydropower generator.",,,,,,37.775,-122.41799999999999,San Francisco,US,4976451-1,,,,
Wind turbine,8033794,utility,2011-10-11,"A wind turbine includes a nacelle that houses a dynamo and a vane wheel coupled to an end of the dynamo. The nacelle is movably mounted to a post. The nacelle has a body forming a circumferentially extending curved slot that has a front portion forming a reducing section and a rear portion forming an expanding section. The vane wheel has a hub at a center thereof and including a plurality of blades radially extending therefrom. Each blade has an end forming a down wash. With the curved design of the nacelle body, the rising angle of airflow exiting the nacelle is improved and with the down wash, the occurrence of tip vortex is suppressed, whereby the utilization efficiency of wind energy in the wind generation operations is improved.",,,,,,25.0392,121.525,Taipei,TW,8033794-1,,,,
High-efficiency windmill,8038400,utility,2011-10-18,"A high-efficiency windmill includes an inner rotor having propellers for capturing wind blowing along a wind direction to push the inner rotor about an axis, and an outer rotor rotatable about the same axis independently of the inner rotor radially exteriorly of the inner rotor. The outer rotor is self-positionable in a rotor position about the axis in response to the wind direction. The outer rotor has an airfoil-shaped vane having a forward surface generally facing the wind in the rotor position, and a rear surface generally facing away from the wind in the rotor position. The rear surface creates a negative pressure zone by accelerating the wind across the rear surface. At least one of the propellers adjacent the airfoil-shaped vane in the rotor position is pulled by the negative pressure zone to assist the wind in pushing the propellers about the axis.",,,,,,22.3908,113.973,New Territories,HK,8038400-1,,,,
Construction apparatus and method for a wind power installation,8061998,utility,2011-11-22,"A small wind power installation of between about 50 and 150 kW nominal power, which can be set up practically at any location in the world as independently as possible of intensive machine support. A wind power installation is disclosed with a plurality of installation parts such as rotor, generator, machine casing and pylon, wherein the installation parts are disposed in at least one container during transport to the building site of the wind power installation and are assembled to form a wind power installation at the location of construction of the wind power installation, wherein the container is such that it accommodates the pylon of the wind power installation and forms the foundation of the wind power installation when sunk into the ground.",,,,,,48.1518,11.5707,MÃÂÃÂ¼nchen,DE,6157556-1,,,,
Shrouded wind turbine with dual coaxial airflow passageways,8063502,utility,2011-11-22,"A renewable energy system for converting wind power into electrical energy or other form of energy. The renewable energy system generally includes a first intake and a second intake, a shroud fluidly connected to the intakes by a first delivery tube and a second delivery tube respectively, and a turbine rotatably positioned within the shroud. The first delivery tube and the second delivery tube are fluidly connected to opposite sides of the shroud to provide the input of the pressurized air from the intakes into opposing portions of the turbine.",,,,,,44.8408,-93.2981,Bloomington,US,8063502-1,,,,
Bladeless wind power generator,8067878,utility,2011-11-29,"In a first embodiment, a wind to energy conversion system is constructed out of a number of modular power units (110), each modular power unit (110) comprised of 36 air jet tunnels (106). Each air jet tunnel (106) is constructed using a cantilever array mounted in a cascaded frame (104) with each cantilever (102) attached on one edge to a window edge of the frame (104). The cantilever (102) is constructed of a brass (130) layer sandwiched between two layers, each layer composed of an electrode (126) attached to a Poly Vinylidene Fluoride (PVDF) (128) layer. Each modular power unit (110) is mounted in a case (108), and a set of cases are mounted in a panel (114) attached to a pedestal (116). The cantilever arrays (117) are wired together into electrical regulating circuits that generate power with a high wind to power conversion efficiency. Other embodiments are presented.",,,,,,34.0522,-118.243,Los Angeles,US,8067878-1,,,,
